Stand	Volume 	Volume_stand_register	Stand_development_class 
1	238.70	217	4
2	62.42	50	2
3	134.70	111	4
4	136.33	123	2
5	84.43	136	2
6	363.30	292	4
7	191.56	132	2
8	143.41	109	2
9	101.94	134	2
10	372.26	302	4
11	415.59	337	4
12	298.22	351	4
13	328.69	311	4
14	218.03	247	4
15	235.77	97	4
16	156.36	109	2
17	209.11	176	4
18	113.29	115	2
19	111.53	121	2
20	351.78	276	4
21	206.79	201	4
22	129.72	162	4
23	142.85	146	2
24	311.87	213	4
25	126.86	102	4
26	246.72	259	4
27	109.80	90	2
28	204.93	199	4
29	358.16	247	4
30	186.22	199	4
31	219.28	126	4
32	290.95	259	4
33	127.99	101	4
34	337.39	415	4
35	292.50	331	4
36	209.38	197	4
37	268.59	269	4
38	176.20	148	4
39	120.36	124	4
40	267.81	228	4
41	142.78	131	2
42	166.97	199	2
43	87.34	53	2
44	260.90	229	4
45	263.72	256	4
46	241.07	223	4
47	156.73	161	2
48	353.82	327	4
49	217.25	208	4
50	152.70	235	4
